"APPOINT_ID","RESERVATION_TYPE","RESERVATION_METHOD","LINE_ID","TIMEZONE_PATTERN_ID","TIMEZONE_ID","APPOINT_DATE","APPOINT_DAY","LINE_NAME","TIMEZONE_NAME","RESERVATION_FRAMES","AUTO_RESERVATION_SETTING","LINE_NUM","SPARE_LINE_NUM","START_TIME","END_TIME","START_NUMBER","LINE_APPOINT_TYPE","LINE_APPOINT_NO","CREATE_USER_NO","CREATE_DATE","MODIFY_USER_NO","MODIFY_DATE","DELETE_FG","DATA_VERSION"
"34","2",\N,"8","30","1","2018-08-30","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-04-23 14:21:27","A1589","2018-08-23 14:59:57","1","3"
"35","2",\N,"8","9","1","2018-05-15","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-05-06 18:15:36","CUSTUMER","2018-05-06 18:15:36","0","1"
"36","2",\N,"8","9","1","2018-05-15","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-05-06 18:15:36","CUSTUMER","2018-05-06 18:15:36","0","1"
"37","2",\N,"8","10","1","2018-06-18","1","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-06-15 10:02:06","A2064","2018-06-15 12:31:41","1","2"
"38","2",\N,"8","10","1","2018-06-18","1","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-06-15 10:02:06","A2064","2018-06-15 12:31:41","1","3"
"39","2",\N,"8","10","1","2018-06-19","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A2064","2018-06-15 12:31:41","A2064","2018-06-15 12:31:41","0","1"
"40","2",\N,"8","10","1","2018-06-19","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A2064","2018-06-15 12:31:41","A2064","2018-06-15 12:31:41","0","1"
"41","2",\N,"8","10","1","2018-06-26","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-06-18 10:12:16","CUSTUMER","2018-06-18 10:12:16","0","1"
"42","2",\N,"8","10","1","2018-06-26","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-06-18 10:12:16","CUSTUMER","2018-06-18 10:12:16","0","1"
"43","2",\N,"8","10","1","2018-06-26","2","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A2062","2018-06-26 14:58:40","A2062","2018-06-26 14:58:40","0","1"
"44","2",\N,"8","16","1","2018-07-11","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A2062","2018-06-26 18:09:54","A2062","2018-06-26 18:09:54","0","1"
"45","2",\N,"8","16","1","2018-07-11","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","A2062","2018-06-26 18:09:54","A2062","2018-06-26 18:09:54","0","1"
"46","2",\N,"8","15","1","2018-09-20","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-07-02 21:56:10","A2062","2018-07-19 16:49:37","1","2"
"47","2",\N,"8","15","1","2018-09-20","4","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-07-02 21:56:10","A2062","2018-07-19 16:49:37","1","2"
"48","2",\N,"8","11","1","2018-07-18","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"CUSTUMER","2018-07-17 18:56:08","CUSTUMER","2018-07-17 18:56:08","0","1"
"49","2",\N,"8","11","1","2018-07-18","3","15日～31日／月～木／1枠","帯1","0",\N,"1","0","0000","2300","1","1","1","CUSTUMER","2018-07-17 18:56:08","CUSTUMER","2018-07-17 18:56:08","0","1"
"50","2",\N,"16","3","1","2018-09-20","4","④毎月15日以降／月～土／1枠","帯1","0",\N,"1","0","0000","2300","1","9",\N,"A2062","2018-07-19 16:49:37","A1589","2018-08-03 11:11:57","1","2"
